Surname_Group,UniqueTransported,TransportedCount,TotalPeople,Group,AllSameTransported,NotTransportedCount
Balderts_8233,1,0,2,8233,True,2
Baldson_3211,1,0,3,3211,True,3
Baldson_4901,1,0,2,4901,True,2
Baldson_9268,1,1,1,9268,True,0
Baleful_3103,1,0,1,3103,True,1
Baleful_4558,1,0,1,4558,True,1
Baleful_8418,2,1,2,8418,False,1
Balightal_1348,2,1,2,1348,False,1
Balightal_6296,1,1,1,6296,True,0
Balle_2052,1,1,1,2052,True,0
Ballexy_5927,2,1,2,5927,False,1
Balley_3570,1,1,1,3570,True,0
Balley_5229,1,0,1,5229,True,1
Balley_6489,1,0,1,6489,True,1
Balley_7406,1,0,1,7406,True,1
Balley_7572,1,0,1,7572,True,1
Ballocks_1638,1,0,1,1638,True,1
Ballocks_2655,1,0,1,2655,True,1
Ballocks_2752,2,1,3,2752,False,2
Ballocks_8818,1,1,1,8818,True,0
Ban_2147,1,1,1,2147,True,0
Ban_2662,1,0,1,2662,True,1
Ban_3402,1,0,1,3402,True,1
Bancy_5537,1,0,1,5537,True,1
Bancy_6033,2,1,2,6033,False,1
Bancy_878,1,0,1,878,True,1
Bane_2867,1,0,2,2867,True,2
Bane_4912,2,1,2,4912,False,1
Bane_5963,1,0,1,5963,True,1
Bane_7058,1,1,1,7058,True,0
Banie_3158,1,0,1,3158,True,1
Banie_7427,1,1,1,7427,True,0
Bara_7045,1,0,1,7045,True,1
Barberts_5858,1,1,1,5858,True,0
Barbes_1325,2,2,3,1325,False,1
Barbes_1500,2,3,4,1500,False,1
Barbes_1624,1,3,3,1624,True,0
Barbes_2172,1,1,1,2172,True,0
Barbes_6361,1,1,1,6361,True,0
Barbes_7326,1,0,1,7326,True,1
Bardina_2478,1,0,1,2478,True,1
Bardina_3726,1,1,1,3726,True,0
Bardina_6155,1,0,1,6155,True,1
Bardina_6523,1,1,1,6523,True,0
Bardina_8365,1,1,1,8365,True,0
Bardinard_1077,1,0,1,1077,True,1
Bardinard_2439,1,1,1,2439,True,0
Bardinard_2599,1,0,1,2599,True,1
Bardinard_3218,2,1,3,3218,False,2
Bardinard_7199,1,0,1,7199,True,1
Bardinard_7550,1,1,1,7550,True,0
Bardinard_9172,1,0,1,9172,True,1
Bardsey_3631,1,0,1,3631,True,1
Bardsey_3922,1,1,1,3922,True,0
Bardsey_7347,1,0,1,7347,True,1
Bardsey_7930,1,1,1,7930,True,0
Bardson_4445,1,0,1,4445,True,1
Bardson_7419,1,2,2,7419,True,0
Bardson_8067,1,0,1,8067,True,1
Barkeretton_1699,1,1,1,1699,True,0
Barkeretton_3024,1,1,1,3024,True,0
Barkeretton_3397,1,0,1,3397,True,1
Barkeretton_7949,1,0,1,7949,True,1
Barks_2626,1,0,1,2626,True,1
Barks_6436,1,1,1,6436,True,0
Barks_7393,1,0,1,7393,True,1
Barles_2154,1,0,1,2154,True,1
Barmant_1539,1,1,1,1539,True,0
Barmant_7431,1,0,1,7431,True,1
Barmant_995,1,1,1,995,True,0
Barne_4964,1,0,1,4964,True,1
Barne_5162,2,1,2,5162,False,1
Barne_9,1,1,1,9,True,0
Barnolaney_1116,1,3,3,1116,True,0
Barnolaney_2398,1,0,1,2398,True,1
Barnolaney_3807,1,1,1,3807,True,0
Barnolaney_9098,1,1,1,9098,True,0
Barnoldeney_2413,1,1,1,2413,True,0
Barnoldeney_6664,1,1,1,6664,True,0
Barnoldeney_7184,1,1,1,7184,True,0
Barnoldeney_9178,1,0,1,9178,True,1
Barnoldeney_9189,1,0,1,9189,True,1
Barnolderg_1144,2,1,3,1144,False,2
Barrelliver_1888,1,1,1,1888,True,0
Barrelliver_3992,1,0,1,3992,True,1
Barrelliver_4060,1,0,1,4060,True,1
Barrelliver_5211,1,0,1,5211,True,1
Barrelliver_6749,1,1,1,6749,True,0
Barrez_5106,1,1,1,5106,True,0
Barrilloney_2799,2,1,2,2799,False,1
Barrilloney_5190,1,0,1,5190,True,1
Barrilloney_9220,1,1,1,9220,True,0
Barris_2190,1,0,1,2190,True,1
Barris_6918,1,1,1,6918,True,0
Barris_6985,1,0,1,6985,True,1
Barris_893,1,1,1,893,True,0
Barris_9036,1,1,1,9036,True,0
Barrison_1873,1,1,1,1873,True,0
Barrison_5000,1,1,1,5000,True,0
Bart_6000,1,0,2,6000,True,2
Bart_7832,1,0,1,7832,True,1
Barte_1727,2,1,2,1727,False,1
Barte_6376,1,1,1,6376,True,0
Bartez_3566,1,1,1,3566,True,0
Bartez_4472,1,0,2,4472,True,2
Bartez_8423,1,0,1,8423,True,1
Bartez_956,1,1,1,956,True,0
Bartez_988,2,1,2,988,False,1
Bartines_2011,1,0,1,2011,True,1
Bartines_4482,2,2,4,4482,False,2
Bartines_6368,1,0,1,6368,True,1
Bartines_8720,1,1,1,8720,True,0
Bartines_8835,1,0,1,8835,True,1
Bartins_4945,1,1,1,4945,True,0
Bate_1940,1,0,1,1940,True,1
Bate_3496,1,1,1,3496,True,0
Bate_5039,2,2,4,5039,False,2
Bate_5120,1,0,1,5120,True,1
Bate_6854,1,0,1,6854,True,1
Batestonley_1552,1,0,1,1552,True,1
Batestonley_2256,1,1,1,2256,True,0
Batestonley_3514,1,0,1,3514,True,1
Batestonley_3716,1,1,1,3716,True,0
Batestonley_5248,1,1,1,5248,True,0
Batestonley_6297,1,1,1,6297,True,0
Batestonley_7542,1,0,1,7542,True,1
Batte_1687,1,0,1,1687,True,1
Batte_5923,1,1,1,5923,True,0
Batthewitt_39,1,0,1,39,True,1
Bau_2528,1,1,1,2528,True,0
Bau_4243,1,0,1,4243,True,1
Bau_4741,1,3,3,4741,True,0
Bau_7606,1,1,1,7606,True,0
Baxters_817,1,0,1,817,True,1
Baxterson_5477,1,1,1,5477,True,0
Baxterson_8055,1,0,1,8055,True,1
Beachez_1046,1,0,1,1046,True,1
Beachez_278,1,0,2,278,True,2
Beachez_466,1,0,1,466,True,1
Beachez_6418,1,0,1,6418,True,1
Beachez_9018,1,0,1,9018,True,1
Beachez_9221,1,0,1,9221,True,1
Beake_8831,1,1,1,8831,True,0
Bealvewd_1532,1,0,1,1532,True,1
Bealvewd_7982,1,1,1,7982,True,0
Bealvewd_7999,1,1,1,7999,True,0
Bealvewd_8458,1,1,1,8458,True,0
Beangley_4109,1,1,1,4109,True,0
Beangley_6290,1,1,1,6290,True,0
Beangley_7549,1,1,1,7549,True,0
Bears_4018,1,0,1,4018,True,1
Bears_6939,1,0,1,6939,True,1
Beasleyes_2893,1,0,1,2893,True,1
Beasleyes_2941,1,0,1,2941,True,1
Beasleyes_6325,1,0,1,6325,True,1
Beasleyes_6650,1,0,1,6650,True,1
Beckeetter_2410,1,1,1,2410,True,0
Beckeetter_4498,2,2,3,4498,False,1
Beckeetter_5239,1,1,1,5239,True,0
Beckeey_1768,1,0,1,1768,True,1
Beckeey_2720,2,1,3,2720,False,2
Beckeey_5163,1,1,1,5163,True,0
Beckeey_5440,2,1,3,5440,False,2
Beckeey_6281,1,1,1,6281,True,0
Beckerson_114,1,0,1,114,True,1
Beckerson_2502,1,0,1,2502,True,1
Beckerson_5965,1,1,1,5965,True,0
Beckerson_8171,1,0,1,8171,True,1
Beckerson_8316,1,0,1,8316,True,1
Bedectical_458,1,1,1,458,True,0
Beling_6951,1,1,1,6951,True,0
Bellarkerd_320,1,0,2,320,True,2
Bellarkerd_3212,1,0,1,3212,True,1
Bellarkerd_3678,1,1,1,3678,True,0
Bellarkerd_4320,1,0,1,4320,True,1
Belley_2361,2,1,2,2361,False,1
Belley_2943,1,0,1,2943,True,1
Belley_4009,1,1,1,4009,True,0
Belley_6398,1,1,1,6398,True,0
Belley_7656,1,0,1,7656,True,1
Belley_7830,2,2,4,7830,False,2
Belley_8141,1,1,1,8141,True,0
Bellyonsley_1129,1,0,1,1129,True,1
Bellyonsley_8378,1,0,1,8378,True,1
Belstrut_2707,1,2,2,2707,True,0
Belstrut_6406,1,2,2,6406,True,0
Belstrut_7127,2,1,2,7127,False,1
Benderez_4329,1,0,1,4329,True,1
Benderez_4369,1,0,1,4369,True,1
Benderez_5504,1,0,1,5504,True,1
Benderez_6366,1,1,1,6366,True,0
Benney_1132,1,0,1,1132,True,1
Benney_5848,1,1,1,5848,True,0
Benney_6325,1,1,1,6325,True,0
Benney_7039,1,0,1,7039,True,1
Benney_8506,1,0,1,8506,True,1
Benney_8871,1,2,2,8871,True,0
Bensley_724,1,0,1,724,True,1
Berges_5202,1,1,1,5202,True,0
Berges_6763,1,1,1,6763,True,0
Berges_7088,1,0,1,7088,True,1
Berges_7110,1,0,1,7110,True,1
Berges_7512,1,0,1,7512,True,1
Berle_5817,1,1,1,5817,True,0
Berle_6751,2,1,2,6751,False,1
Berle_8639,1,0,2,8639,True,2
Berle_9029,1,0,1,9029,True,1
Berreranks_2908,1,0,2,2908,True,2
Berreranks_2936,1,0,1,2936,True,1
Berreranks_7752,1,0,1,7752,True,1
Berreranks_8642,1,0,1,8642,True,1
Bert_5016,1,0,1,5016,True,1
Bert_686,2,1,2,686,False,1
Bert_8257,1,0,1,8257,True,1
Berte_257,2,1,2,257,False,1
Berte_7479,1,1,1,7479,True,0
Berte_7784,1,1,1,7784,True,0
Bertiz_3440,1,0,1,3440,True,1
Bertiz_6517,1,0,1,6517,True,1
Bertsontry_11,1,1,1,11,True,0
Bertsontry_1293,1,0,1,1293,True,1
Bertsontry_2412,1,1,1,2412,True,0
Bertsontry_4898,1,1,1,4898,True,0
Beston_2046,1,0,1,2046,True,1
Beston_4266,1,1,1,4266,True,0
Beston_7,1,1,1,7,True,0
Beston_7577,1,0,1,7577,True,1
Beston_773,1,0,1,773,True,1
Betie_1488,1,1,1,1488,True,0
Betie_2818,1,3,3,2818,True,0
Bette_7310,1,0,1,7310,True,1
Bewarsecal_3667,1,1,1,3667,True,0
Bewarsecal_6139,1,1,1,6139,True,0
Biba_5074,1,0,1,5074,True,1
Biba_5173,1,1,1,5173,True,0
Bine_3099,1,1,1,3099,True,0
Bine_3569,1,1,1,3569,True,0
Bine_5814,2,5,7,5814,False,2
Binie_470,1,2,2,470,True,0
Binie_68,1,0,1,68,True,1
Birds_3371,1,0,1,3371,True,1
Birds_3586,1,0,1,3586,True,1
Birt_3786,1,0,2,3786,True,2
Birt_4372,1,1,1,4372,True,0
Birt_5087,1,0,1,5087,True,1
Birt_6926,1,1,1,6926,True,0
Birt_7984,1,4,4,7984,True,0
Birt_8468,1,0,1,8468,True,1
Birte_2873,1,0,1,2873,True,1
Birte_5560,1,0,1,5560,True,1
Birte_5788,1,1,1,5788,True,0
Bla_2120,1,1,1,2120,True,0
Blace_3919,1,0,1,3919,True,1
Blace_4452,1,1,1,4452,True,0
Blace_970,1,1,1,970,True,0
Blacks_1402,1,2,2,1402,True,0
Blacks_2194,1,0,1,2194,True,1
Blacks_2805,1,0,1,2805,True,1
Blacks_3954,1,0,1,3954,True,1
Blacks_4810,1,0,1,4810,True,1
Blacks_5693,1,1,1,5693,True,0
Blainson_1208,1,0,1,1208,True,1
Blainson_1697,1,0,1,1697,True,1
Blainson_5238,1,0,1,5238,True,1
Blake_3970,1,1,1,3970,True,0
Blan_1617,1,0,1,1617,True,1
Blan_2092,1,1,1,2092,True,0
Blan_2111,1,0,1,2111,True,1
Blan_221,1,0,1,221,True,1
Blan_7346,1,0,1,7346,True,1
Blancoy_1736,1,0,1,1736,True,1
Blancoy_7230,1,1,1,7230,True,0
Blancoy_8961,2,1,4,8961,False,3
Blancoy_8985,1,0,1,8985,True,1
Blandez_1312,1,1,1,1312,True,0
Blandez_1360,1,1,1,1360,True,0
Blandez_513,1,1,1,513,True,0
Blandez_5325,1,1,1,5325,True,0
Blandez_8021,1,0,1,8021,True,1
Blane_3023,1,1,1,3023,True,0
Blane_3143,1,1,1,3143,True,0
Blane_5427,1,0,1,5427,True,1
Blane_5435,1,0,1,5435,True,1
Blane_7296,1,0,1,7296,True,1
Blange_2316,1,1,1,2316,True,0
Blange_322,1,0,1,322,True,1
Blange_3441,1,0,1,3441,True,1
Blange_6662,1,1,1,6662,True,0
Blangibson_5713,1,1,1,5713,True,0
Blangibson_5868,1,0,1,5868,True,1
Blangibson_7298,1,1,1,7298,True,0
Blanglison_1017,1,0,1,1017,True,1
Blanglison_1022,1,0,1,1022,True,1
Blanglison_5555,1,1,1,5555,True,0
Blanglison_5680,1,1,1,5680,True,0
Blanglison_8932,1,0,1,8932,True,1
Blanspe_1797,1,1,1,1797,True,0
Blanspe_7340,1,0,1,7340,True,1
Blate_5888,1,0,2,5888,True,2
Blate_911,2,1,2,911,False,1
Ble_1056,1,2,2,1056,True,0
Ble_2709,1,1,1,2709,True,0
Ble_408,1,0,1,408,True,1
Ble_5223,1,2,2,5223,True,0
Ble_565,1,0,1,565,True,1
Ble_8210,1,0,1,8210,True,1
Blees_2269,1,1,1,2269,True,0
Bleling_7022,2,1,2,7022,False,1
Blentrary_4972,1,1,1,4972,True,0
Blercat_7387,1,1,1,7387,True,0
Blie_133,2,1,2,133,False,1
Blie_7738,1,1,1,7738,True,0
Blité_77,1,1,1,77,True,0
Boderbint_1527,1,2,2,1527,True,0
Boderbint_2723,1,2,2,2723,True,0
Boderbint_8487,1,0,1,8487,True,1
Boltertley_2949,1,0,1,2949,True,1
Boltertley_5521,1,0,1,5521,True,1
Boltond_2423,1,0,1,2423,True,1
Boltond_2679,1,0,1,2679,True,1
Boltond_5631,1,0,1,5631,True,1
Boltond_8799,1,1,1,8799,True,0
Boltond_9099,1,0,1,9099,True,1
Boltund_2084,2,1,2,2084,False,1
Boltund_3337,2,1,2,3337,False,1
Boltund_4463,1,2,2,4463,True,0
Boltund_5466,2,1,3,5466,False,2
Bonder_2435,1,0,1,2435,True,1
Bonder_8216,1,1,1,8216,True,0
Bonnondry_6960,1,0,1,6960,True,1
Bonnondry_8956,2,1,8,8956,False,7
Bookerson_261,1,0,1,261,True,1
Bookerson_3239,1,1,1,3239,True,0
Bookerson_4764,1,1,1,4764,True,0
Bookerson_6851,1,1,1,6851,True,0
Bookerson_6928,1,0,2,6928,True,2
Bookerson_8393,1,0,1,8393,True,1
Bookerson_9007,1,0,1,9007,True,1
Bookson_1240,1,1,1,1240,True,0
Bookson_8899,1,1,1,8899,True,0
Bookst_2470,1,0,2,2470,True,2
Booneid_1906,1,0,1,1906,True,1
Booneid_3036,1,0,1,3036,True,1
Booneid_4596,1,1,1,4596,True,0
Booneid_4920,1,1,1,4920,True,0
Booneid_6787,2,4,6,6787,False,2
Booness_2243,1,1,1,2243,True,0
Booness_3903,1,0,1,3903,True,1
Booness_9160,1,0,1,9160,True,1
Booters_189,1,0,1,189,True,1
Booters_3079,1,0,1,3079,True,1
Booters_8544,1,0,1,8544,True,1
Booters_8907,1,1,1,8907,True,0
Bootez_2104,1,0,2,2104,True,2
Bootez_3054,1,0,1,3054,True,1
Bootez_4183,1,0,1,4183,True,1
Bootez_5188,1,0,2,5188,True,2
Bootious_110,1,0,1,110,True,1
Bootious_6898,1,1,1,6898,True,0
Bootty_287,2,1,2,287,False,1
Bootty_3083,1,0,1,3083,True,1
Bootty_575,1,1,1,575,True,0
Bost_6042,1,0,1,6042,True,1
Bost_6157,1,0,1,6157,True,1
Bost_8034,1,0,2,8034,True,2
Boste_2099,1,1,1,2099,True,0
Boste_6963,1,0,1,6963,True,1
Bota_8494,1,1,1,8494,True,0
Botie_6211,1,1,1,6211,True,0
Botie_8103,1,0,1,8103,True,1
Botte_6367,2,1,2,6367,False,1
Bowenasey_1136,1,1,1,1136,True,0
Bowenasey_2441,1,0,1,2441,True,1
Bowenasey_5992,1,1,1,5992,True,0
Bowerson_309,1,0,1,309,True,1
Boyers_7899,1,1,1,7899,True,0
Boyers_8168,2,2,4,8168,False,2
Boyers_9026,1,1,1,9026,True,0
Boyerson_5413,1,1,1,5413,True,0
Boyersons_2360,1,1,1,2360,True,0
Boyersons_7616,1,1,1,7616,True,0
Boyersons_7847,1,0,1,7847,True,1
Boyersons_8771,1,0,1,8771,True,1
Boyst_2203,1,0,1,2203,True,1
Boyst_4429,1,0,1,4429,True,1
Boyst_7987,1,0,1,7987,True,1
Bra_1035,1,1,1,1035,True,0
Bra_4719,1,1,1,4719,True,0
Bra_6090,1,1,1,6090,True,0
Bradamss_1757,1,0,1,1757,True,1
Bradamss_2318,1,0,1,2318,True,1
Bradamss_6402,1,1,1,6402,True,0
Bradamss_6822,1,0,1,6822,True,1
Bradamss_8797,1,0,1,8797,True,1
Bradiary_4113,1,2,2,4113,True,0
Bradiary_4658,1,0,2,4658,True,2
Bradissive_7007,2,1,2,7007,False,1
Bradlerson_1805,1,1,1,1805,True,0
Bradlerson_1953,1,0,1,1953,True,1
Bradlerson_3012,1,0,1,3012,True,1
Bradlerson_3348,1,0,1,3348,True,1
Bradlerson_3963,1,1,1,3963,True,0
Bradlerson_551,1,0,1,551,True,1
Bradlerson_5673,1,1,1,5673,True,0
