Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Surname,TotalExpenses,HasExpenses,Transported,AgeImputed,AgeCluster,AgeClusterLabel
31,3,3,Mars,False,F,9.0,P,TRAPPIST-1e,20.0,False,Datie_31,2740,1,True,20.0,0,C0_0-32
34,1,1,Europa,True,D,1.0,S,55 Cancri e,28.0,False,Oingwhedly_34,0,0,True,28.0,0,C0_0-32
35,1,1,Mars,False,D,1.0,P,55 Cancri e,23.0,False,Butte_35,2699,1,False,23.0,0,C0_0-32
36,1,1,Earth,False,F,8.0,S,55 Cancri e,15.0,,Leodger_36,961,1,False,15.0,0,C0_0-32
38,1,1,Earth,False,F,10.0,S,55 Cancri e,20.0,False,Wheelez_38,3355,1,False,20.0,0,C0_0-32
39,1,1,Earth,True,G,1.0,P,55 Cancri e,30.0,False,Batthewitt_39,0,0,False,30.0,0,C0_0-32
41,1,1,Earth,True,G,2.0,P,TRAPPIST-1e,17.0,False,Moodsey_41,0,0,True,17.0,0,C0_0-32
43,1,1,Europa,False,B,3.0,P,TRAPPIST-1e,45.0,False,Cylistrand_43,3575,1,False,45.0,1,C1_33-79
44,1,3,Earth,True,G,3.0,P,TRAPPIST-1e,55.0,False,Coopelandez_44,0,0,False,55.0,1,C1_33-79
44,2,3,Earth,True,G,3.0,P,55 Cancri e,4.0,False,Coopelandez_44,0,0,True,4.0,0,C0_0-32
44,3,3,Earth,True,G,3.0,P,PSO J318.5-22,21.0,False,Coopelandez_44,0,0,True,21.0,0,C0_0-32
45,1,2,Mars,False,F,10.0,P,TRAPPIST-1e,21.0,False,Chmad_45,1214,1,False,21.0,0,C0_0-32
45,2,2,Mars,True,F,10.0,P,,19.0,False,Chmad_45,0,0,True,19.0,0,C0_0-32
50,1,1,Earth,False,E,1.0,S,55 Cancri e,35.0,False,Lancis_50,790,1,False,35.0,1,C1_33-79
51,1,1,Earth,False,E,2.0,S,TRAPPIST-1e,56.0,False,Johnshines_51,1618,1,False,56.0,1,C1_33-79
52,1,1,Earth,False,G,6.0,S,TRAPPIST-1e,,False,Hubbarton_52,4689,1,False,27.0,0,C0_0-32
53,1,1,Earth,False,F,11.0,S,TRAPPIST-1e,25.0,False,Hickerson_53,1939,1,True,25.0,0,C0_0-32
56,1,3,Europa,False,A,1.0,S,TRAPPIST-1e,2.0,False,Tractive_56,0,0,True,2.0,0,C0_0-32
56,2,3,Europa,True,A,1.0,S,TRAPPIST-1e,38.0,False,Tractive_56,0,0,True,38.0,1,C1_33-79
56,3,3,Europa,False,A,1.0,S,TRAPPIST-1e,27.0,False,Tractive_56,4547,1,True,27.0,0,C0_0-32
58,1,1,Earth,True,G,7.0,S,PSO J318.5-22,36.0,False,Ayalazquez_58,0,0,False,36.0,1,C1_33-79
61,1,1,Earth,False,F,12.0,S,TRAPPIST-1e,22.0,False,Salez_61,2667,1,False,22.0,0,C0_0-32
62,1,1,Earth,False,F,13.0,S,TRAPPIST-1e,62.0,False,Greeves_62,634,1,False,62.0,1,C1_33-79
64,1,2,Mars,True,F,14.0,S,TRAPPIST-1e,15.0,False,,0,0,True,15.0,0,C0_0-32
64,2,2,,True,E,3.0,S,TRAPPIST-1e,33.0,False,Keen_64,0,0,True,33.0,1,C1_33-79
66,1,1,Earth,False,G,6.0,P,TRAPPIST-1e,62.0,False,Pecketton_66,811,1,False,62.0,1,C1_33-79
67,1,3,Earth,True,G,10.0,S,PSO J318.5-22,0.0,False,Leeves_67,0,0,True,0.0,0,C0_0-32
67,2,3,Earth,False,G,10.0,S,TRAPPIST-1e,18.0,False,Leeves_67,705,1,True,18.0,0,C0_0-32
67,3,3,Earth,False,F,15.0,S,55 Cancri e,21.0,False,Leeves_67,2007,1,False,21.0,0,C0_0-32
68,1,1,Mars,False,E,4.0,S,TRAPPIST-1e,,False,Binie_68,1048,1,False,27.0,0,C0_0-32
69,1,1,Earth,False,F,16.0,S,TRAPPIST-1e,42.0,False,,902,1,True,42.0,1,C1_33-79
70,1,1,Earth,False,F,13.0,P,TRAPPIST-1e,19.0,False,Brighttt_70,922,1,False,19.0,0,C0_0-32
71,1,1,Earth,False,F,14.0,P,TRAPPIST-1e,17.0,False,Dillines_71,2233,1,False,17.0,0,C0_0-32
72,1,1,Earth,False,F,17.0,S,TRAPPIST-1e,14.0,False,Brantuarez_72,1064,1,False,14.0,0,C0_0-32
73,1,1,Mars,False,D,3.0,P,PSO J318.5-22,37.0,False,Make_73,879,1,False,37.0,1,C1_33-79
74,1,1,Europa,False,C,3.0,S,TRAPPIST-1e,42.0,False,Mostedry_74,8904,1,True,42.0,1,C1_33-79
76,1,1,Mars,False,F,18.0,S,TRAPPIST-1e,27.0,False,Dal_76,1165,1,True,27.0,0,C0_0-32
77,1,1,Mars,False,F,15.0,P,TRAPPIST-1e,28.0,False,Blité_77,1309,1,True,28.0,0,C0_0-32
78,1,1,Europa,False,C,4.0,S,TRAPPIST-1e,38.0,False,Pokerheed_78,15815,1,False,38.0,1,C1_33-79
81,1,1,Earth,True,G,13.0,S,TRAPPIST-1e,13.0,False,Vinozarks_81,0,0,False,13.0,0,C0_0-32
82,1,3,Mars,False,F,16.0,P,TRAPPIST-1e,42.0,False,Datte_82,7406,1,False,42.0,1,C1_33-79
82,2,3,Mars,True,F,16.0,P,TRAPPIST-1e,2.0,False,Datte_82,0,0,True,2.0,0,C0_0-32
82,3,3,Mars,False,F,16.0,P,TRAPPIST-1e,8.0,False,,0,0,True,8.0,0,C0_0-32
84,1,1,Earth,False,G,14.0,S,TRAPPIST-1e,24.0,False,Coopezmaney_84,705,1,True,24.0,0,C0_0-32
85,1,1,Europa,True,C,5.0,S,TRAPPIST-1e,40.0,False,Ellcefulve_85,0,0,True,40.0,1,C1_33-79
86,1,1,Earth,False,F,17.0,P,TRAPPIST-1e,43.0,False,Kinson_86,1362,1,False,43.0,1,C1_33-79
88,1,1,Mars,True,E,5.0,S,PSO J318.5-22,45.0,False,Sacre_88,0,0,True,45.0,1,C1_33-79
90,1,1,Earth,True,G,15.0,S,TRAPPIST-1e,35.0,False,Santry_90,0,0,True,35.0,1,C1_33-79
91,1,2,Earth,True,G,16.0,S,TRAPPIST-1e,26.0,False,Yorkland_91,0,0,True,26.0,0,C0_0-32
91,2,2,Earth,False,F,20.0,S,TRAPPIST-1e,27.0,False,Yorkland_91,917,1,False,27.0,0,C0_0-32
92,1,3,Earth,False,G,9.0,P,TRAPPIST-1e,19.0,False,Dunnisey_92,705,1,False,19.0,0,C0_0-32
92,2,3,Earth,True,G,9.0,P,TRAPPIST-1e,0.0,False,Hewson_92,0,0,True,0.0,0,C0_0-32
92,3,3,Earth,True,G,9.0,P,TRAPPIST-1e,3.0,False,Hewson_92,0,0,True,3.0,0,C0_0-32
97,1,1,Europa,False,A,2.0,S,TRAPPIST-1e,54.0,False,Fictful_97,1848,1,False,54.0,1,C1_33-79
98,1,2,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,Carezquez_98,893,1,False,26.0,0,C0_0-32
98,2,2,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,Carezquez_98,3855,1,True,26.0,0,C0_0-32
99,1,2,Earth,False,F,19.0,P,PSO J318.5-22,23.0,False,Leetersoney_99,1301,1,False,23.0,0,C0_0-32
99,2,2,Earth,,G,12.0,P,TRAPPIST-1e,2.0,False,Connelson_99,0,0,True,2.0,0,C0_0-32
101,1,1,Mars,True,,,,TRAPPIST-1e,31.0,False,Trad_101,0,0,True,31.0,0,C0_0-32
102,1,1,Earth,False,F,23.0,S,TRAPPIST-1e,18.0,False,Holson_102,921,1,False,18.0,0,C0_0-32
103,1,3,Earth,False,F,24.0,S,TRAPPIST-1e,24.0,False,Mclainez_103,17,1,True,24.0,0,C0_0-32
103,2,3,Earth,True,G,18.0,S,55 Cancri e,9.0,False,Mclainez_103,0,0,True,9.0,0,C0_0-32
103,3,3,Earth,True,G,18.0,S,TRAPPIST-1e,6.0,False,Mclainez_103,0,0,False,6.0,0,C0_0-32
105,1,1,Earth,,F,21.0,P,TRAPPIST-1e,27.0,False,Cleachrand_105,703,1,False,27.0,0,C0_0-32
107,1,1,Mars,False,D,2.0,S,TRAPPIST-1e,21.0,False,Hart_107,1765,1,False,21.0,0,C0_0-32
108,1,3,Earth,True,G,19.0,S,TRAPPIST-1e,23.0,False,Handertiz_108,0,0,False,23.0,0,C0_0-32
108,2,3,Earth,False,G,19.0,S,TRAPPIST-1e,31.0,False,,888,1,False,31.0,0,C0_0-32
108,3,3,Earth,False,G,19.0,S,TRAPPIST-1e,0.0,,Handertiz_108,0,0,True,0.0,0,C0_0-32
110,1,4,Europa,False,,,,TRAPPIST-1e,32.0,False,Aloubtled_110,5109,1,False,32.0,0,C0_0-32
110,2,4,Europa,,B,5.0,P,TRAPPIST-1e,40.0,False,Bootious_110,2018,1,False,40.0,1,C1_33-79
110,3,4,Europa,False,B,5.0,P,TRAPPIST-1e,42.0,False,Aloubtled_110,15940,1,True,42.0,1,C1_33-79
110,4,4,Europa,True,B,5.0,P,TRAPPIST-1e,28.0,False,Aloubtled_110,0,0,True,28.0,0,C0_0-32
111,1,1,Europa,True,E,6.0,S,TRAPPIST-1e,29.0,False,Supred_111,0,0,True,29.0,0,C0_0-32
112,1,1,Europa,False,B,1.0,S,55 Cancri e,48.0,True,Cowtale_112,2654,1,True,48.0,1,C1_33-79
113,1,1,Earth,False,F,23.0,P,TRAPPIST-1e,64.0,False,Carvis_113,804,1,True,64.0,1,C1_33-79
114,1,1,Earth,False,G,20.0,S,TRAPPIST-1e,27.0,False,Beckerson_114,907,1,False,27.0,0,C0_0-32
115,1,1,Mars,,F,24.0,P,TRAPPIST-1e,26.0,False,Pead_115,0,0,True,26.0,0,C0_0-32
116,1,1,Europa,False,D,4.0,P,TRAPPIST-1e,33.0,False,Suptive_116,2640,1,True,33.0,1,C1_33-79
119,1,2,,False,A,0.0,P,TRAPPIST-1e,39.0,False,Coning_119,9307,1,False,39.0,1,C1_33-79
119,2,2,Europa,True,A,0.0,P,TRAPPIST-1e,13.0,False,Coning_119,0,0,True,13.0,0,C0_0-32
120,1,1,Mars,True,F,25.0,P,TRAPPIST-1e,24.0,False,Sacre_120,0,0,True,24.0,0,C0_0-32
122,1,1,Earth,False,G,21.0,S,TRAPPIST-1e,29.0,False,Hayder_122,773,1,False,29.0,0,C0_0-32
123,1,1,Earth,False,F,27.0,P,TRAPPIST-1e,18.0,False,Fielson_123,702,1,False,18.0,0,C0_0-32
126,1,1,Mars,True,F,27.0,S,TRAPPIST-1e,67.0,False,Mish_126,0,0,True,67.0,1,C1_33-79
127,1,1,Mars,False,E,7.0,S,TRAPPIST-1e,35.0,False,Mesty_127,1022,1,False,35.0,1,C1_33-79
128,1,2,Mars,False,D,3.0,S,TRAPPIST-1e,61.0,True,Fles_128,3014,1,False,61.0,1,C1_33-79
128,2,2,Mars,False,E,8.0,S,TRAPPIST-1e,45.0,False,Fles_128,2109,1,False,45.0,1,C1_33-79
129,1,1,Earth,True,G,22.0,S,PSO J318.5-22,22.0,False,Fowles_129,0,0,True,22.0,0,C0_0-32
133,1,2,Mars,True,F,29.0,S,TRAPPIST-1e,19.0,False,Blie_133,0,0,True,19.0,0,C0_0-32
133,2,2,Mars,False,D,5.0,S,TRAPPIST-1e,36.0,False,Blie_133,2738,1,False,36.0,1,C1_33-79
134,1,1,Earth,False,G,17.0,P,TRAPPIST-1e,19.0,False,Harmontry_134,744,1,True,19.0,0,C0_0-32
136,1,1,Earth,False,G,23.0,S,PSO J318.5-22,47.0,False,,721,1,False,47.0,1,C1_33-79
138,1,2,Earth,True,G,18.0,P,TRAPPIST-1e,13.0,False,Gambs_138,0,0,True,13.0,0,C0_0-32
138,2,2,Earth,False,E,5.0,P,,34.0,False,Gambs_138,793,1,False,34.0,1,C1_33-79
139,1,1,Europa,True,C,6.0,S,55 Cancri e,35.0,False,Myling_139,0,0,True,35.0,1,C1_33-79
140,1,2,Earth,True,G,19.0,P,TRAPPIST-1e,24.0,False,Mejiaddox_140,0,0,True,24.0,0,C0_0-32
140,2,2,Earth,False,F,29.0,P,TRAPPIST-1e,26.0,False,Whitakers_140,902,1,False,26.0,0,C0_0-32
141,1,1,Mars,False,F,30.0,P,TRAPPIST-1e,31.0,False,Harte_141,97,1,False,31.0,0,C0_0-32
144,1,1,Earth,False,F,31.0,S,TRAPPIST-1e,20.0,False,Dayers_144,630,1,True,20.0,0,C0_0-32
146,1,1,Earth,False,G,25.0,S,TRAPPIST-1e,56.0,False,Wolferguson_146,0,0,False,56.0,1,C1_33-79
147,1,1,Earth,True,G,26.0,S,TRAPPIST-1e,50.0,False,Hubbarrison_147,0,0,True,50.0,1,C1_33-79
148,1,1,Mars,False,F,31.0,P,TRAPPIST-1e,42.0,False,Pashe_148,1158,1,False,42.0,1,C1_33-79
149,1,1,Earth,True,G,27.0,S,55 Cancri e,,False,Hubbarrison_149,0,0,True,27.0,0,C0_0-32
151,1,1,Earth,True,G,20.0,P,55 Cancri e,38.0,False,Simson_151,0,0,False,38.0,1,C1_33-79
152,1,1,Earth,False,F,32.0,P,,41.0,False,Estron_152,607,1,False,41.0,1,C1_33-79
160,1,1,Earth,False,G,22.0,P,TRAPPIST-1e,22.0,False,Atkinney_160,4180,1,False,22.0,0,C0_0-32
163,1,2,Europa,True,B,8.0,P,TRAPPIST-1e,26.0,False,Hetforhaft_163,0,0,True,26.0,0,C0_0-32
163,2,2,Europa,True,B,8.0,P,TRAPPIST-1e,17.0,False,Hetforhaft_163,0,0,True,17.0,0,C0_0-32
164,1,2,Earth,False,G,28.0,S,TRAPPIST-1e,57.0,False,Hutchinton_164,1873,1,True,57.0,1,C1_33-79
164,2,2,Earth,True,G,28.0,S,PSO J318.5-22,17.0,False,Hutchinton_164,0,0,False,17.0,0,C0_0-32
165,1,1,Mars,True,F,37.0,P,TRAPPIST-1e,35.0,,Anche_165,0,0,True,35.0,1,C1_33-79
167,1,2,Mars,True,F,35.0,S,TRAPPIST-1e,13.0,False,Floaf_167,0,0,True,13.0,0,C0_0-32
167,2,2,Mars,False,F,35.0,S,TRAPPIST-1e,27.0,False,Floaf_167,1572,1,False,27.0,0,C0_0-32
169,1,1,Earth,True,G,23.0,P,TRAPPIST-1e,31.0,False,Fisherry_169,0,0,False,31.0,0,C0_0-32
170,1,1,Earth,False,E,10.0,S,TRAPPIST-1e,24.0,False,Mcmahoney_170,788,1,False,24.0,0,C0_0-32
171,1,1,Earth,True,G,30.0,S,PSO J318.5-22,19.0,False,Gordanieves_171,0,0,True,19.0,0,C0_0-32
172,1,1,Earth,True,G,24.0,P,TRAPPIST-1e,32.0,False,Johnshines_172,0,0,True,32.0,0,C0_0-32
173,1,1,Earth,,E,11.0,S,TRAPPIST-1e,58.0,False,Grifford_173,990,1,True,58.0,1,C1_33-79
174,1,1,Earth,False,F,38.0,P,55 Cancri e,21.0,False,Lambles_174,593,1,False,21.0,0,C0_0-32
177,1,1,Europa,False,B,2.0,S,TRAPPIST-1e,38.0,False,Iniouser_177,27428,1,False,38.0,1,C1_33-79
178,1,1,Mars,False,D,6.0,S,TRAPPIST-1e,38.0,False,Knik_178,3722,1,False,38.0,1,C1_33-79
179,1,3,Earth,False,G,26.0,P,TRAPPIST-1e,19.0,False,Webstephrey_179,906,1,True,19.0,0,C0_0-32
179,2,3,Earth,False,G,26.0,P,TRAPPIST-1e,0.0,False,Webstephrey_179,0,0,False,0.0,0,C0_0-32
179,3,3,Earth,False,G,26.0,P,TRAPPIST-1e,3.0,False,Webstephrey_179,0,0,True,3.0,0,C0_0-32
181,1,1,Earth,False,G,27.0,P,TRAPPIST-1e,20.0,False,Brighttt_181,394,1,False,20.0,0,C0_0-32
182,1,1,Europa,True,C,3.0,P,TRAPPIST-1e,24.0,False,Disight_182,0,0,True,24.0,0,C0_0-32
183,1,1,Earth,False,F,36.0,S,TRAPPIST-1e,37.0,False,Weaves_183,821,1,True,37.0,1,C1_33-79
186,1,1,Earth,False,G,28.0,P,TRAPPIST-1e,25.0,False,Shephendry_186,1018,1,False,25.0,0,C0_0-32
188,1,1,Earth,True,G,31.0,S,TRAPPIST-1e,56.0,False,Romez_188,0,0,True,56.0,1,C1_33-79
189,1,1,Earth,False,E,8.0,P,55 Cancri e,49.0,False,Booters_189,788,1,False,49.0,1,C1_33-79
190,1,1,Earth,True,G,32.0,S,55 Cancri e,11.0,False,,0,0,False,11.0,0,C0_0-32
192,1,3,Earth,True,G,29.0,P,TRAPPIST-1e,1.0,False,Adavisons_192,0,0,True,1.0,0,C0_0-32
192,2,3,Earth,False,G,29.0,P,TRAPPIST-1e,8.0,False,Adavisons_192,0,0,False,8.0,0,C0_0-32
192,3,3,Earth,False,G,29.0,P,TRAPPIST-1e,39.0,False,Adavisons_192,908,1,False,39.0,1,C1_33-79
193,1,3,Mars,True,F,41.0,P,TRAPPIST-1e,2.0,False,Raf_193,0,0,True,2.0,0,C0_0-32
193,2,3,Mars,False,F,41.0,P,TRAPPIST-1e,23.0,False,Raf_193,1080,1,False,23.0,0,C0_0-32
193,3,3,Mars,False,F,41.0,P,TRAPPIST-1e,0.0,False,Raf_193,0,0,True,0.0,0,C0_0-32
195,1,1,Mars,False,F,42.0,P,TRAPPIST-1e,39.0,False,Floaf_195,1273,1,True,39.0,1,C1_33-79
196,1,1,Mars,False,D,5.0,P,PSO J318.5-22,25.0,False,Emead_196,1778,1,False,25.0,0,C0_0-32
197,1,1,Europa,False,C,5.0,P,TRAPPIST-1e,36.0,False,Dissper_197,2342,1,False,36.0,1,C1_33-79
198,1,1,Earth,,G,30.0,P,PSO J318.5-22,52.0,False,Cookson_198,0,0,True,52.0,1,C1_33-79
199,1,1,Earth,True,G,33.0,S,TRAPPIST-1e,18.0,False,Morrows_199,0,0,False,18.0,0,C0_0-32
200,1,1,Earth,True,G,31.0,P,TRAPPIST-1e,15.0,False,Colomonson_200,0,0,True,15.0,0,C0_0-32
201,1,2,Europa,True,B,3.0,S,TRAPPIST-1e,35.0,False,Bacistion_201,0,0,True,35.0,1,C1_33-79
201,2,2,Europa,True,B,3.0,S,TRAPPIST-1e,47.0,False,Bacistion_201,0,0,True,47.0,1,C1_33-79
202,1,2,Europa,True,B,9.0,P,55 Cancri e,45.0,False,Embleng_202,0,0,True,45.0,1,C1_33-79
202,2,2,Europa,False,A,2.0,P,55 Cancri e,,False,Embleng_202,3754,1,True,27.0,0,C0_0-32
203,1,1,Europa,True,C,8.0,S,TRAPPIST-1e,51.0,False,Heateele_203,0,0,True,51.0,1,C1_33-79
205,1,1,Earth,False,G,34.0,S,TRAPPIST-1e,29.0,False,Oneiles_205,773,1,False,29.0,0,C0_0-32
206,1,1,Europa,False,C,9.0,S,55 Cancri e,,False,Brugashed_206,2981,1,True,27.0,0,C0_0-32
207,1,1,Earth,True,G,32.0,P,PSO J318.5-22,19.0,False,Mcfaddennon_207,0,0,False,19.0,0,C0_0-32
210,1,1,,True,D,6.0,P,55 Cancri e,24.0,False,Inicont_210,0,0,True,24.0,0,C0_0-32
211,1,3,Mars,False,F,44.0,P,TRAPPIST-1e,29.0,False,Appie_211,1040,1,True,29.0,0,C0_0-32
211,2,3,Mars,True,F,44.0,P,TRAPPIST-1e,11.0,False,Appie_211,0,0,True,11.0,0,C0_0-32
211,3,3,Mars,False,F,44.0,P,TRAPPIST-1e,17.0,False,Date_211,1337,1,False,17.0,0,C0_0-32
212,1,2,Earth,False,E,9.0,P,TRAPPIST-1e,13.0,False,Workmans_212,982,1,False,13.0,0,C0_0-32
212,2,2,Earth,False,F,45.0,P,TRAPPIST-1e,35.0,False,Workmans_212,732,1,False,35.0,1,C1_33-79
213,1,1,Earth,False,F,46.0,P,TRAPPIST-1e,21.0,False,Navages_213,794,1,False,21.0,0,C0_0-32
216,1,1,Earth,False,F,40.0,S,55 Cancri e,21.0,False,Garnes_216,1974,1,False,21.0,0,C0_0-32
217,1,1,Earth,False,F,47.0,P,TRAPPIST-1e,38.0,False,Shieldson_217,1544,1,False,38.0,1,C1_33-79
219,1,1,Earth,True,G,36.0,P,TRAPPIST-1e,19.0,False,River_219,0,0,True,19.0,0,C0_0-32
220,1,7,Earth,True,G,37.0,P,TRAPPIST-1e,2.0,False,Wilsoney_220,0,0,True,2.0,0,C0_0-32
220,2,7,Earth,False,G,37.0,P,TRAPPIST-1e,0.0,False,Wilsoney_220,0,0,True,0.0,0,C0_0-32
220,3,7,Earth,True,G,37.0,P,TRAPPIST-1e,13.0,False,Wilsoney_220,0,0,False,13.0,0,C0_0-32
220,4,7,Earth,False,E,10.0,P,TRAPPIST-1e,25.0,False,Wilsoney_220,206,1,False,25.0,0,C0_0-32
220,5,7,Earth,False,F,48.0,P,TRAPPIST-1e,16.0,False,Wilsoney_220,1102,1,False,16.0,0,C0_0-32
220,6,7,Earth,False,G,37.0,P,55 Cancri e,1.0,False,Wilsoney_220,0,0,False,1.0,0,C0_0-32
220,7,7,Earth,True,G,37.0,P,TRAPPIST-1e,15.0,False,Wilsoney_220,0,0,True,15.0,0,C0_0-32
221,1,7,Mars,False,E,13.0,S,55 Cancri e,21.0,False,Blan_221,2356,1,False,21.0,0,C0_0-32
221,2,7,Mars,False,E,13.0,S,TRAPPIST-1e,23.0,False,Reke_221,1298,1,False,23.0,0,C0_0-32
221,3,7,Mars,False,E,13.0,S,TRAPPIST-1e,33.0,False,Reke_221,2134,1,False,33.0,1,C1_33-79
221,4,7,Mars,True,E,13.0,S,TRAPPIST-1e,21.0,False,Reke_221,0,0,True,21.0,0,C0_0-32
221,5,7,Mars,False,E,13.0,S,TRAPPIST-1e,41.0,False,Reke_221,2597,1,False,41.0,1,C1_33-79
221,6,7,Mars,False,E,13.0,S,TRAPPIST-1e,16.0,False,Reke_221,1370,1,False,16.0,0,C0_0-32
221,7,7,Mars,True,E,13.0,S,TRAPPIST-1e,42.0,False,Reke_221,0,0,False,42.0,1,C1_33-79
222,1,3,Mars,False,F,41.0,S,TRAPPIST-1e,20.0,False,Perte_222,1417,1,False,20.0,0,C0_0-32
222,2,3,Mars,True,F,41.0,S,TRAPPIST-1e,24.0,False,Deva_222,0,0,True,24.0,0,C0_0-32
222,3,3,Mars,True,E,14.0,S,TRAPPIST-1e,16.0,False,Perte_222,0,0,True,16.0,0,C0_0-32
223,1,1,Earth,False,G,35.0,S,TRAPPIST-1e,21.0,False,Sykess_223,676,1,False,21.0,0,C0_0-32
224,1,1,Mars,False,F,42.0,S,TRAPPIST-1e,32.0,True,Queen_224,1820,1,False,32.0,0,C0_0-32
225,1,1,Earth,True,G,38.0,P,PSO J318.5-22,58.0,False,Hortis_225,0,0,True,58.0,1,C1_33-79
229,1,1,Earth,False,F,43.0,S,TRAPPIST-1e,24.0,False,Sellahaney_229,803,1,False,24.0,0,C0_0-32
231,1,1,Mars,False,F,44.0,S,TRAPPIST-1e,30.0,False,Nate_231,1806,1,False,30.0,0,C0_0-32
232,1,1,Earth,True,G,36.0,S,PSO J318.5-22,27.0,False,Bakerrison_232,0,0,False,27.0,0,C0_0-32
233,1,1,Mars,False,F,45.0,S,TRAPPIST-1e,32.0,False,Wist_233,1750,1,False,32.0,0,C0_0-32
